#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-08T11:06:00 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-08T11:06:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/771/85/table4&-out.all&-out.max=999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17710085
#Name: J/ApJ/771/85
#Title: Dynamical masses of z~2 quiescent galaxies (van de Sande+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/771/85	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/771/85	    IVOID of underlying data collection
#INFO	creator=van de Sande J.	    First author or institution
#INFO	cites=bibcode:2013ApJ...771...85V	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/771/85	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17710085	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_771_85_table4:
#Name: J/ApJ/771/85/table4
#Title: Compilation of masses and structural parameters for high-redshift galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(I1)	? Paper Reference (1)	[ucd=meta.ref;pos.frame]
#Column	ID	(a6)	Galaxy ID as given in Paper	[ucd=meta.id;meta.main]
#Column	f_ID	(A1)	Flag on ID (2)	[ucd=meta.code]
#Column	zsp	(F6.3)	[0.8/2.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	re	(F5.2)	[0.6/14] Physical circularized radius	[ucd=phys.size.radius]
#Column	e_re	(F5.2)	Error re	[ucd=stat.error]
#Column	n	(F5.2)	[1.4/5.3] Sersic index	[ucd=stat.fit.param]
#Column	e_n	(F5.2)	Error in n	[ucd=stat.error]
#Column	q	(F6.2)	[0/1]? Axis ratio q=b/a	[ucd=phys.size.axisRatio]
#Column	e_q	(F6.2)	? Error in q	[ucd=stat.error]
#Column	sigma	(I3)	[96/544] Effective velocity dispersion {sigma}	[ucd=phys.veloc.dispersion]
#Column	E_sigma	(I3)	Upper error for sigma	[ucd=stat.error;stat.max]
#Column	e_sigma	(I3)	Lower error for sigma	[ucd=stat.error]
#Column	ap.c	(F6.3)	[0.9/1.3] Aperture correction factor on sigma	[ucd=instr.param]
#Column	kn	(F5.2)	[5/8] Dynamical virial constant {beta}(n) (3)	[ucd=stat.fit.param]
#Column	logMdyn	(F5.2)	[10.3/12.3] Log of dynamical mass	[ucd=phys.mass]
#Column	E_logMdyn	(F5.2)	Upper error in logMdyn	[ucd=stat.error;stat.max]
#Column	e_logMdyn	(F5.2)	Lower error in logMdyn	[ucd=stat.error]
#Column	logM*	(F5.2)	[10.5/12] Log of stellar mass	[ucd=phys.mass]
#Column	Filt	(A6)	Filter used to derive the effective radius (F160W, F775W, F814W, F850LP or K)	[ucd=instr.setup;instr.filter]
#Column	NMBS	(I3)	Cross-match within 1" with the NEWFIRM MBS catalog (J/ApJ/735/86)	[ucd=meta.ref.url]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Table 2; or from references and references therein in Note (1) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Table 2; or from references and references therein in Note (1) (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Ref	ID	f_ID	zsp	re	e_re	n	e_n	q	e_q	sigma	E_sigma	e_sigma	ap.c	kn	logMdyn	E_logMdyn	e_logMdyn	logM*	Filt	NMBS	SimbadName	_RA	_DE
      19	5	E3    	 	 1.124	 6.11	 0.92	 4.00	 0.20	      	      	241	 23	 23	 0.983	 5.93	11.69	 0.10	 0.10	11.14	F814W 	  0	[NET2010] E3       	215.00572	+52.97530
      20	5	E4    	 	 1.179	 2.65	 0.40	 4.00	 0.20	      	      	237	 14	 14	 1.026	 5.93	11.31	 0.08	 0.08	10.95	F814W 	  0	[NET2010] E4       	214.98437	+52.96129
      21	5	E5    	 	 1.225	 1.43	 0.21	 4.00	 0.20	      	      	129	 20	 20	 1.052	 5.93	10.52	 0.14	 0.14	10.61	F814W 	  0	[NET2010] E5       	214.98158	+52.94994
      22	5	E6    	 	 1.243	 2.38	 0.36	 4.00	 0.20	      	      	278	 22	 22	 1.031	 5.93	11.40	 0.09	 0.09	11.07	F814W 	  0	[NET2010] E6       	215.03500	+52.98306
      23	5	GN1   	a	 1.253	 1.29	 0.19	 4.00	 0.20	      	      	268	 15	 15	 1.057	 5.93	11.11	 0.09	 0.09	11.10	F850LP	  0	[NET2010] GN1      	189.26810	+62.22640
      24	5	E7    	b	 1.262	 1.57	 0.24	 4.00	 0.20	      	      	 96	 19	 19	 1.048	 5.93	10.30	 0.15	 0.15	10.71	F814W 	  0	[NET2010] E7       	215.13190	+53.01630
      25	5	E8    	 	 1.262	 1.38	 0.21	 4.00	 0.20	      	      	259	 23	 23	 1.054	 5.93	11.11	 0.11	 0.11	10.81	F814W 	  0	[NET2010] E8       	215.13708	+53.01722
      26	5	GN2   	 	 1.266	 1.58	 0.24	 4.00	 0.20	      	      	220	 17	 17	 1.047	 5.93	11.02	 0.12	 0.12	10.93	F850LP	  0	[NET2010] GN2      	189.06339	+62.16244
      27	5	GN3   	 	 1.315	 3.44	 0.52	 4.00	 0.20	      	      	263	 19	 19	 1.013	 5.93	11.51	 0.09	 0.09	11.37	F850LP	  0	[NET2010] GN3      	188.93458	+62.20667
      28	5	S2    	b	 1.315	 2.47	 0.37	 4.00	 0.20	      	      	157	 23	 23	 1.030	 5.93	10.93	 0.13	 0.13	10.70	F814W 	  0	[NET2010] S2       	334.35020	+00.30320
      29	5	S3    	 	 1.394	 2.50	 0.38	 4.00	 0.20	      	      	248	 61	 61	 1.030	 5.93	11.33	 0.19	 0.19	11.16	F814W 	  0	[NET2010] S3       	334.42333	+00.22556
      30	5	GN4   	b	 1.395	 0.77	 0.12	 4.00	 0.20	      	      	193	 38	 38	 1.076	 5.93	10.60	 0.18	 0.18	10.72	F850LP	  0	[NET2010] GN4      	189.11320	+62.13250
      31	5	E9    	 	 1.406	 1.19	 0.18	 4.00	 0.20	      	      	313	 54	 54	 1.060	 5.93	11.21	 0.18	 0.18	10.85	F814W 	  0	[NET2010] E9       	215.12208	+52.95750
      32	5	GN5   	b	 1.598	 0.68	 0.10	 4.00	 0.20	      	      	260	 27	 27	 1.082	 5.93	10.80	 0.12	 0.12	11.92	F850LP	  0	[NET2010] GN5      	188.96250	+62.22860
      33	6	1649  	 	 0.840	 3.37	 0.51	 4.00	 0.20	      	      	245	 29	 29	 1.022	 5.93	11.45	 0.10	 0.10	11.03	F775W 	  0	[BVF2002] 1649     	164.28375	-03.63167
      34	6	2409  	 	 0.840	 2.68	 0.40	 3.38	 0.20	      	      	290	 34	 34	 1.034	 6.34	11.52	 0.10	 0.10	10.90	F775W 	  0	[BVF2002] 2409     	164.27292	-03.63361
      35	6	3058  	 	 0.830	 7.02	 1.05	 2.60	 0.20	      	      	304	 33	 33	 0.987	 6.87	12.01	 0.09	 0.09	11.30	F775W 	  0	[BVF2002] 3058     	164.26417	-03.62972
      36	6	3768  	 	 0.820	 2.73	 0.41	 4.00	 0.20	      	      	224	 25	 25	 1.032	 5.93	11.28	 0.09	 0.09	10.97	F775W 	  0	[BVF2002] 3768     	164.26042	-03.62722
      37	6	3910  	 	 0.830	 1.75	 0.26	 4.00	 0.20	      	      	298	 44	 44	 1.050	 5.93	11.33	 0.11	 0.11	10.91	F775W 	  0	[BVF2002] 3910     	164.25833	-03.63028
      38	6	4345  	 	 0.830	 3.52	 0.53	 3.40	 0.20	      	      	339	 35	 35	 1.021	 6.32	11.77	 0.09	 0.09	11.18	F775W 	  0	[BVF2002] 4345     	164.25542	-03.63083
      39	6	4520  	 	 0.830	13.18	 1.98	 4.00	 0.20	      	      	320	 29	 29	 0.953	 5.93	12.27	 0.09	 0.09	11.68	F775W 	  0	[BVF2002] 4520     	164.24958	-03.62703
      40	6	4926  	 	 0.830	 1.78	 0.27	 4.00	 0.20	      	      	313	 40	 40	 1.050	 5.93	11.38	 0.10	 0.10	10.84	F775W 	  0	[BVF2002] 4926     	164.24833	-03.62806
      41	6	5280  	 	 0.830	 2.25	 0.34	 2.45	 0.20	      	      	261	 32	 32	 1.040	 6.98	11.40	 0.10	 0.10	10.98	F775W 	  0	[BVF2002] 5280     	164.24375	-03.62111
      42	6	5298  	 	 0.830	 1.86	 0.28	 2.10	 0.20	      	      	286	 41	 41	 1.045	 7.23	11.41	 0.11	 0.11	10.60	F775W 	  0	[BVF2002] 5298     	164.24333	-03.62167
      43	6	5347  	 	 0.830	 1.57	 0.24	 2.08	 0.20	      	      	255	 25	 25	 1.050	 7.25	11.24	 0.09	 0.09	10.76	F775W 	  0	[BVF2002] 5347     	164.24000	-03.61139
      44	6	5450  	 	 0.840	 7.54	 1.13	 4.00	 0.20	      	      	234	 26	 26	 0.982	 5.93	11.76	 0.09	 0.09	11.33	F775W 	  0	[BVF2002] 5450     	164.23667	-03.62806
      45	6	5529  	 	 0.820	 1.77	 0.27	 2.24	 0.20	      	      	183	 24	 24	 1.047	 7.13	10.99	 0.10	 0.10	10.76	F775W 	  0	[BVF2002] 5529     	164.26083	-03.61767
      46	6	5577  	 	 0.830	 1.95	 0.29	 3.04	 0.20	      	      	308	 42	 42	 1.046	 6.57	11.45	 0.11	 0.11	10.89	F775W 	  0	[BVF2002] 5577     	164.23750	-03.61361
      47	6	5666  	 	 0.830	 5.44	 0.82	 4.00	 0.20	      	      	287	 23	 23	 0.999	 5.93	11.79	 0.08	 0.08	11.20	F775W 	  0	[BVF2002] 5666     	164.23333	-03.65028
      48	6	5756  	 	 0.830	 3.16	 0.47	 3.76	 0.20	      	      	234	 28	 28	 1.025	 6.09	11.39	 0.10	 0.10	11.02	F775W 	  0	[BVF2002] 5756     	164.26662	-03.59969
      49	6	6688  	 	 0.840	 3.00	 0.45	 4.00	 0.20	      	      	276	 38	 38	 1.027	 5.93	11.50	 0.11	 0.11	10.98	F775W 	  0	[BVF2002] 6688     	164.22417	-03.63861
      50	6	237   	 	 0.850	 1.80	 0.27	 4.00	 0.20	      	      	283	 22	 22	 1.050	 5.93	11.30	 0.08	 0.08	11.30	F850LP	  0	[TEL2005] 237      	189.39305	+62.21140
      51	6	635   	 	 0.820	 2.29	 0.34	 4.00	 0.20	      	      	203	 18	 18	 1.040	 5.93	11.11	 0.08	 0.08	10.77	F850LP	  0	[TEL2005] 635      	189.20297	+62.12884
      52	6	681   	 	 0.840	 1.43	 0.21	 4.00	 0.20	      	      	344	 32	 32	 1.057	 5.93	11.37	 0.09	 0.09	10.61	F850LP	  0	[TEL2005] 681      	189.16202	+62.15102
      53	6	761   	 	 1.010	 3.77	 0.57	 4.00	 0.20	      	      	377	 40	 40	 1.020	 5.93	11.87	 0.09	 0.09	11.53	F850LP	  0	[TEL2005] 761      	189.18497	+62.19255
      54	6	951   	 	 0.850	 2.15	 0.32	 4.00	 0.20	      	      	237	 18	 18	 1.043	 5.93	11.22	 0.08	 0.08	11.37	F850LP	  0	[TEL2005] 951      	189.15926	+62.26805
      55	6	1236  	 	 0.850	 1.98	 0.30	 4.00	 0.20	      	      	219	 13	 13	 1.046	 5.93	11.12	 0.07	 0.07	10.85	F850LP	  0	[TEL2005] 1236     	189.13472	+62.13737
      56	6	1286  	 	 0.850	 3.66	 0.55	 4.00	 0.20	      	      	249	 17	 17	 1.019	 5.93	11.50	 0.08	 0.08	11.04	F850LP	  0	[TEL2005] 1286     	189.13713	+62.15268
      57	6	1287  	 	 0.850	 3.94	 0.59	 4.00	 0.20	      	      	345	 23	 23	 1.016	 5.93	11.81	 0.08	 0.08	11.45	F850LP	  0	[TEL2005] 1287     	189.13248	+62.15182
      58	6	1328  	 	 0.840	 1.82	 0.27	 4.00	 0.20	      	      	252	 36	 36	 1.049	 5.93	11.20	 0.11	 0.11	10.67	F850LP	  0	[TEL2005] 1328     	189.07121	+62.16984
      59	6	1559  	 	 0.940	 1.66	 0.25	 4.00	 0.20	      	      	179	 13	 13	 1.053	 5.93	10.87	 0.08	 0.08	10.79	F850LP	  0	[TEL2005] 1559     	189.15567	+62.27993
      60	6	1633  	 	 0.840	 1.96	 0.29	 4.00	 0.20	      	      	333	 14	 14	 1.046	 5.93	11.48	 0.07	 0.07	10.98	F850LP	  0	[TEL2005] 1633     	189.01146	+62.15881
      61	6	1706  	 	 0.910	 2.23	 0.33	 4.00	 0.20	      	      	217	 13	 13	 1.042	 5.93	11.16	 0.07	 0.07	11.17	F850LP	  0	[TEL2005] 1706     	189.00768	+62.19073
      62	6	1709  	 	 0.840	 1.16	 0.17	 4.00	 0.20	      	      	220	 12	 12	 1.066	 5.93	10.89	 0.07	 0.07	10.71	F850LP	  0	[TEL2005] 1709     	188.95265	+62.19218
      63	6	1     	 	 1.090	 2.83	 0.42	 4.00	 0.20	      	      	233	 17	 17	 1.034	 5.93	11.33	 0.08	 0.08	11.17	F850LP	  0	[VFV2005] CDFS-1   	053.10483	-27.91393
      64	6	2     	 	 0.960	 2.30	 0.34	 4.00	 0.20	      	      	202	 10	 10	 1.042	 5.93	11.11	 0.07	 0.07	11.28	F850LP	  0	[VFV2005] CDFS-2   	053.09553	-27.90954
      65	6	3     	 	 1.040	 1.00	 0.15	 4.00	 0.20	      	      	302	 34	 34	 1.073	 5.93	11.10	 0.10	 0.10	10.82	F850LP	  0	[VFV2005] CDFS-3   	053.10956	-27.90140
      66	6	4     	 	 0.960	 6.84	 1.03	 4.00	 0.20	      	      	337	 19	 19	 0.989	 5.93	12.03	 0.07	 0.07	11.63	F850LP	  0	[VFV2005] CDFS-4   	053.08037	-27.90171
      67	6	7     	 	 1.140	 5.77	 0.87	 4.00	 0.20	      	      	233	 20	 20	 1.000	 5.93	11.64	 0.08	 0.08	11.54	F850LP	  0	[VFV2005] CDFS-7   	053.13071	-27.88865
      68	6	12    	 	 1.120	 0.94	 0.14	 4.00	 0.20	      	      	263	 23	 23	 1.075	 5.93	10.95	 0.08	 0.08	10.94	F850LP	  0	[VFV2005] CDFS-12  	053.18812	-27.82777
      69	6	13    	 	 0.980	 2.20	 0.33	 4.00	 0.20	      	      	249	 11	 11	 1.044	 5.93	11.28	 0.07	 0.07	11.24	F850LP	  0	[VFV2005] CDFS-13  	053.16499	-27.81933
      70	6	14    	 	 0.980	 2.80	 0.42	 4.00	 0.20	      	      	199	 24	 24	 1.033	 5.93	11.18	 0.10	 0.10	10.89	F850LP	  0	[VFV2005] CDFS-14  	053.22596	-27.81771
      71	6	18    	 	 1.100	 3.97	 0.60	 4.00	 0.20	      	      	327	 37	 37	 1.018	 5.93	11.77	 0.10	 0.10	11.50	F850LP	  0	[VFV2005] CDFS-18  	053.15498	-27.76891
      72	6	20    	 	 1.020	 2.24	 0.34	 4.00	 0.20	      	      	201	 17	 17	 1.043	 5.93	11.10	 0.08	 0.08	11.16	F850LP	  0	[VFV2005] CDFS-20  	053.04183	-27.72587
      73	7	19627 	 	 2.039	 2.77	 0.11	 1.47	 0.15	      	      	326	 54	 54	 1.025	 7.70	11.72	 0.12	 0.12	11.37	K     	  0	[SSS2008] UDS 19627	034.57125	-05.36078

